Precip,NDVI,EVI,GPP,LSTDay,LSTNight,Elevation,RZSM,SURFSM,Clay,Sand,Silt,BD,In-Situ
0,0.5908,0.3538,0.048744,NaN,NaN,244,0.20063,0.19906,11,52,36,1.48,0.21614
0,0.5908,0.3538,0.048744,NaN,294,244,0.19862,0.19424,11,52,36,1.48,0.2125
0,0.5908,0.3538,0.048744,300.7,NaN,244,0.19656,0.18923,11,52,36,1.48,0.2065
0,0.5908,0.3538,0.048744,NaN,NaN,244,0.19292,0.17167,11,52,36,1.48,0.19788
0,0.5908,0.3538,0.048744,NaN,295.96,244,0.18943,0.15974,11,52,36,1.48,0.1905
0,0.5908,0.3538,0.048744,308.02,294.86,244,0.18613,0.15331,11,52,36,1.48,0.18308
0,0.5908,0.3538,0.048744,NaN,297.8,244,0.18307,0.14759,11,52,36,1.48,0.17488
0,0.5908,0.3538,0.041932,NaN,NaN,244,0.18023,0.14584,11,52,36,1.48,0.16237
0,0.5908,0.3538,0.041932,NaN,NaN,244,0.17756,0.14752,11,52,36,1.48,0.14758
0,0.5908,0.3538,0.041932,303.78,NaN,244,0.17954,0.20227,11,52,36,1.48,0.1425
0,0.5908,0.3538,0.041932,NaN,NaN,244,0.17767,0.18118,11,52,36,1.48,0.13975
0,0.5908,0.3538,0.041932,304.18,NaN,244,0.17344,0.15567,11,52,36,1.48,0.13429
0,0.5908,0.3538,0.041932,NaN,NaN,244,0.17033,0.14657,11,52,36,1.48,0.12946
7.2268,0.5908,0.3538,0.041932,313.08,NaN,244,0.16859,0.15045,11,52,36,1.48,0.12338
0,0.5908,0.3538,0.041932,305.64,NaN,244,0.16636,0.1332,11,52,36,1.48,0.11721
10.805,0.6679,0.3593,0.036698,303.98,297.6,244,0.16432,0.14488,11,52,36,1.48,0.11208
10.805,0.6679,0.3593,0.036698,NaN,NaN,244,0.17059,0.22487,11,52,36,1.48,0.10567
0,0.6679,0.3593,0.036698,303.36,NaN,244,0.17012,0.19607,11,52,36,1.48,0.10258
