Precip,NDVI,EVI,GPP,LSTDay,LSTNight,Elevation,RZSM,SURFSM,Clay,Sand,Silt,BD,In-Situ
0,0.5908,0.3538,0.048744,NaN,NaN,244,0.20063,0.19906,0,0,0,1.88,0.20371
0,0.5908,0.3538,0.048744,NaN,294,244,0.19862,0.19424,0,0,0,1.88,0.20546
0,0.5908,0.3538,0.048744,300.7,NaN,244,0.19656,0.18923,0,0,0,1.88,0.20708
0,0.5908,0.3538,0.048744,NaN,NaN,244,0.19292,0.17167,0,0,0,1.88,0.20679
0,0.5908,0.3538,0.048744,NaN,295.96,244,0.18943,0.15974,0,0,0,1.88,0.2075
0,0.5908,0.3538,0.048744,308.02,294.86,244,0.18613,0.15331,0,0,0,1.88,0.20929
0,0.5908,0.3538,0.048744,NaN,297.8,244,0.18307,0.14759,0,0,0,1.88,0.20937
0,0.5908,0.3538,0.041932,NaN,NaN,244,0.18023,0.14584,0,0,0,1.88,0.21
0,0.5908,0.3538,0.041932,NaN,NaN,244,0.17756,0.14752,0,0,0,1.88,0.21021
0,0.5908,0.3538,0.041932,303.78,NaN,244,0.17954,0.20227,0,0,0,1.88,0.21133
0,0.5908,0.3538,0.041932,NaN,NaN,244,0.17767,0.18118,0,0,0,1.88,0.21113
0,0.5908,0.3538,0.041932,304.18,NaN,244,0.17344,0.15567,0,0,0,1.88,0.21067
0,0.5908,0.3538,0.041932,NaN,NaN,244,0.17033,0.14657,0,0,0,1.88,0.21142
7.2268,0.5908,0.3538,0.041932,313.08,NaN,244,0.16859,0.15045,0,0,0,1.88,0.21146
0,0.5908,0.3538,0.041932,305.64,NaN,244,0.16636,0.1332,0,0,0,1.88,0.21188
10.805,0.6679,0.3593,0.036698,303.98,297.6,244,0.16432,0.14488,0,0,0,1.88,0.21233
10.805,0.6679,0.3593,0.036698,NaN,NaN,244,0.17059,0.22487,0,0,0,1.88,0.21263
0,0.6679,0.3593,0.036698,303.36,NaN,244,0.17012,0.19607,0,0,0,1.88,0.21154
0,0.6679,0.3593,0.036698,304.34,292.5,244,0.16587,0.15715,0,0,0,1.88,0.21175
0,0.6679,0.3593,0.036698,NaN,294.58,244,0.16312,0.14154,0,0,0,1.88,0.212
10.951,0.6679,0.3593,0.036698,NaN,294.84,244,0.16523,0.1817,0,0,0,1.88,0.212
10.951,0.6679,0.3593,0.036698,NaN,NaN,244,0.17617,0.24027,0,0,0,1.88,0.21096
43.803,0.6679,0.3593,0.036698,NaN,NaN,244,0.18025,0.24634,0,0,0,1.88,0.21196
32.852,0.6679,0.3593,0.040835,NaN,NaN,244,0.19614,0.28266,0,0,0,1.88,0.244
0,0.6679,0.3593,0.040835,NaN,NaN,244,0.20709,0.25815,0,0,0,1.88,0.23446
0,0.6679,0.3593,0.040835,NaN,NaN,244,0.2025,0.21756,0,0,0,1.88,0.22583
0,0.6679,0.3593,0.040835,301.44,294.3,244,0.19769,0.20241,0,0,0,1.88,0.22496
0,0.6679,0.3593,0.040835,NaN,NaN,244,0.19366,0.18594,0,0,0,1.88,0.22413
0,0.6679,0.3593,0.040835,302.94,295.76,244,0.18999,0.17487,0,0,0,1.88,0.22392
0,0.6679,0.3593,0.040835,NaN,297.3,244,0.18671,0.16832,0,0,0,1.88,0.22412
0,0.6679,0.3593,0.040835,304.88,293.5,244,0.18339,0.16162,0,0,0,1.88,0.22408
0,0.7884,0.5372,0.042339,NaN,297.98,244,0.18012,0.15464,0,0,0,1.88,0.22508
0,0.7884,0.5372,0.042339,NaN,297.58,244,0.17745,0.15052,0,0,0,1.88,0.22504
0,0.7884,0.5372,0.042339,NaN,298.42,244,0.17426,0.13908,0,0,0,1.88,0.22525
16.732,0.7884,0.5372,0.042339,302.06,NaN,244,0.17816,0.20363,0,0,0,1.88,0.22558
0,0.7884,0.5372,0.042339,NaN,NaN,244,0.17564,0.17735,0,0,0,1.88,0.2255
0,0.7884,0.5372,0.042339,301.68,296.36,244,0.17198,0.15737,0,0,0,1.88,0.22533
0,0.7884,0.5372,0.042339,NaN,296.26,244,0.16923,0.15215,0,0,0,1.88,0.22492
0,0.7884,0.5372,0.042339,NaN,297.18,244,0.16688,0.15531,0,0,0,1.88,0.22654
0,0.7884,0.5372,0.039122,309.26,297.4,244,0.1642,0.14607,0,0,0,1.88,0.22646
11.078,0.7884,0.5372,0.039122,NaN,297.46,244,0.16114,0.13578,0,0,0,1.88,0.22662
11.078,0.7884,0.5372,0.039122,301,NaN,244,0.1623,0.17683,0,0,0,1.88,0.22908
11.078,0.7884,0.5372,0.039122,NaN,NaN,244,0.16163,0.18415,0,0,0,1.88,0.22771
11.078,0.7884,0.5372,0.039122,NaN,295.08,244,0.16702,0.21068,0,0,0,1.88,0.22833
0,0.7884,0.5372,0.039122,304.02,295.4,244,0.16309,0.17349,0,0,0,1.88,0.22729
0,0.7884,0.5372,0.039122,NaN,NaN,244,0.15961,0.15465,0,0,0,1.88,0.22846
0,0.7884,0.5372,0.039122,NaN,NaN,244,0.15753,0.15183,0,0,0,1.88,0.22796
0,0.6397,0.3634,0.035966,NaN,296.74,244,0.15647,0.15811,0,0,0,1.88,0.22758
0,0.6397,0.3634,0.035966,304.22,NaN,244,0.15469,0.15305,0,0,0,1.88,0.22779
0,0.6397,0.3634,0.035966,NaN,294.34,244,0.15431,0.15405,0,0,0,1.88,0.22904
0,0.6397,0.3634,0.035966,304.78,293.9,244,0.15155,0.1309,0,0,0,1.88,0.22742
0,0.6397,0.3634,0.035966,307.28,292.78,244,0.14832,0.10945,0,0,0,1.88,0.22788
0,0.6397,0.3634,0.035966,302.72,294.94,244,0.14589,0.097905,0,0,0,1.88,0.22775
0,0.6397,0.3634,0.035966,305.8,NaN,244,0.14396,0.095996,0,0,0,1.88,0.228
0,0.6397,0.3634,0.035966,NaN,295.98,244,0.14209,0.093987,0,0,0,1.88,0.22933
