Precip,NDVI,EVI,GPP,LSTDay,LSTNight,Elevation,RZSM,SURFSM,Clay,Sand,Silt,BD,In-Situ
0,0.5908,0.3538,0.048744,NaN,NaN,244,0.20063,0.19906,13,49,38,1.48,0.20057
0,0.5908,0.3538,0.048744,NaN,294,244,0.19862,0.19424,13,49,38,1.48,0.19667
0,0.5908,0.3538,0.048744,300.7,NaN,244,0.19656,0.18923,13,49,38,1.48,0.19396
0,0.5908,0.3538,0.048744,NaN,NaN,244,0.19292,0.17167,13,49,38,1.48,0.18975
0,0.5908,0.3538,0.048744,NaN,295.96,244,0.18943,0.15974,13,49,38,1.48,0.18287
0,0.5908,0.3538,0.048744,308.02,294.86,244,0.18613,0.15331,13,49,38,1.48,0.18046
0,0.5908,0.3538,0.048744,NaN,297.8,244,0.18307,0.14759,13,49,38,1.48,0.17529
0,0.5908,0.3538,0.041932,NaN,NaN,244,0.18023,0.14584,13,49,38,1.48,0.17229
0,0.5908,0.3538,0.041932,NaN,NaN,244,0.17756,0.14752,13,49,38,1.48,0.16804
0,0.5908,0.3538,0.041932,303.78,NaN,244,0.17954,0.20227,13,49,38,1.48,0.16663
0,0.5908,0.3538,0.041932,NaN,NaN,244,0.17767,0.18118,13,49,38,1.48,0.16308
0,0.5908,0.3538,0.041932,304.18,NaN,244,0.17344,0.15567,13,49,38,1.48,0.15979
0,0.5908,0.3538,0.041932,NaN,NaN,244,0.17033,0.14657,13,49,38,1.48,0.15654
7.2268,0.5908,0.3538,0.041932,313.08,NaN,244,0.16859,0.15045,13,49,38,1.48,0.15204
0,0.5908,0.3538,0.041932,305.64,NaN,244,0.16636,0.1332,13,49,38,1.48,0.14854
10.805,0.6679,0.3593,0.036698,303.98,297.6,244,0.16432,0.14488,13,49,38,1.48,0.14358
10.805,0.6679,0.3593,0.036698,NaN,NaN,244,0.17059,0.22487,13,49,38,1.48,0.14004
0,0.6679,0.3593,0.036698,303.36,NaN,244,0.17012,0.19607,13,49,38,1.48,0.13692
0,0.6679,0.3593,0.036698,304.34,292.5,244,0.16587,0.15715,13,49,38,1.48,0.1325
0,0.6679,0.3593,0.036698,NaN,294.58,244,0.16312,0.14154,13,49,38,1.48,0.12871
10.951,0.6679,0.3593,0.036698,NaN,294.84,244,0.16523,0.1817,13,49,38,1.48,0.12646
10.951,0.6679,0.3593,0.036698,NaN,NaN,244,0.17617,0.24027,13,49,38,1.48,0.12563
43.803,0.6679,0.3593,0.036698,NaN,NaN,244,0.18025,0.24634,13,49,38,1.48,0.12467
32.852,0.6679,0.3593,0.040835,NaN,NaN,244,0.19614,0.28266,13,49,38,1.48,0.21621
0,0.6679,0.3593,0.040835,NaN,NaN,244,0.20709,0.25815,13,49,38,1.48,0.25162
0,0.6679,0.3593,0.040835,NaN,NaN,244,0.2025,0.21756,13,49,38,1.48,0.24792
0,0.6679,0.3593,0.040835,301.44,294.3,244,0.19769,0.20241,13,49,38,1.48,0.234
0,0.6679,0.3593,0.040835,NaN,NaN,244,0.19366,0.18594,13,49,38,1.48,0.21833
0,0.6679,0.3593,0.040835,302.94,295.76,244,0.18999,0.17487,13,49,38,1.48,0.20629
0,0.6679,0.3593,0.040835,NaN,297.3,244,0.18671,0.16832,13,49,38,1.48,0.19604
0,0.6679,0.3593,0.040835,304.88,293.5,244,0.18339,0.16162,13,49,38,1.48,0.18696
0,0.7884,0.5372,0.042339,NaN,297.98,244,0.18012,0.15464,13,49,38,1.48,0.18017
0,0.7884,0.5372,0.042339,NaN,297.58,244,0.17745,0.15052,13,49,38,1.48,0.17379
0,0.7884,0.5372,0.042339,NaN,298.42,244,0.17426,0.13908,13,49,38,1.48,0.16817
16.732,0.7884,0.5372,0.042339,302.06,NaN,244,0.17816,0.20363,13,49,38,1.48,0.16429
0,0.7884,0.5372,0.042339,NaN,NaN,244,0.17564,0.17735,13,49,38,1.48,0.16387
0,0.7884,0.5372,0.042339,301.68,296.36,244,0.17198,0.15737,13,49,38,1.48,0.15842
0,0.7884,0.5372,0.042339,NaN,296.26,244,0.16923,0.15215,13,49,38,1.48,0.15458
0,0.7884,0.5372,0.042339,NaN,297.18,244,0.16688,0.15531,13,49,38,1.48,0.16571
0,0.7884,0.5372,0.039122,309.26,297.4,244,0.1642,0.14607,13,49,38,1.48,0.16996
11.078,0.7884,0.5372,0.039122,NaN,297.46,244,0.16114,0.13578,13,49,38,1.48,0.172
11.078,0.7884,0.5372,0.039122,301,NaN,244,0.1623,0.17683,13,49,38,1.48,0.222
11.078,0.7884,0.5372,0.039122,NaN,NaN,244,0.16163,0.18415,13,49,38,1.48,0.21167
11.078,0.7884,0.5372,0.039122,NaN,295.08,244,0.16702,0.21068,13,49,38,1.48,0.24562
0,0.7884,0.5372,0.039122,304.02,295.4,244,0.16309,0.17349,13,49,38,1.48,0.23483
0,0.7884,0.5372,0.039122,NaN,NaN,244,0.15961,0.15465,13,49,38,1.48,0.22108
0,0.7884,0.5372,0.039122,NaN,NaN,244,0.15753,0.15183,13,49,38,1.48,0.20713
0,0.6397,0.3634,0.035966,NaN,296.74,244,0.15647,0.15811,13,49,38,1.48,0.19433
0,0.6397,0.3634,0.035966,304.22,NaN,244,0.15469,0.15305,13,49,38,1.48,0.18533
0,0.6397,0.3634,0.035966,NaN,294.34,244,0.15431,0.15405,13,49,38,1.48,0.18058
0,0.6397,0.3634,0.035966,304.78,293.9,244,0.15155,0.1309,13,49,38,1.48,0.17071
0,0.6397,0.3634,0.035966,307.28,292.78,244,0.14832,0.10945,13,49,38,1.48,0.16225
0,0.6397,0.3634,0.035966,302.72,294.94,244,0.14589,0.097905,13,49,38,1.48,0.1515
0,0.6397,0.3634,0.035966,305.8,NaN,244,0.14396,0.095996,13,49,38,1.48,0.13942
0,0.6397,0.3634,0.035966,NaN,295.98,244,0.14209,0.093987,13,49,38,1.48,0.12771
0,0.6397,0.3634,0.035254,309.14,NaN,244,0.14121,0.10646,13,49,38,1.48,0.11429
33.308,0.6397,0.3634,0.035254,NaN,NaN,244,0.14828,0.19403,13,49,38,1.48,0.18667
0,0.6397,0.3634,0.035254,NaN,295.88,244,0.16041,0.21578,13,49,38,1.48,0.21754
0,0.6397,0.3634,0.035254,302.96,294.42,244,0.15487,0.1543,13,49,38,1.48,0.19846
0,0.6397,0.3634,0.035254,302.8,NaN,244,0.15102,0.13312,13,49,38,1.48,0.18742
0,0.6397,0.3634,0.035254,NaN,293.56,244,0.1493,0.1424,13,49,38,1.48,0.17563
9.5699,0.6397,0.3634,0.035254,NaN,NaN,244,0.16057,0.22515,13,49,38,1.48,0.21371
0,0.6397,0.3634,0.035254,306.24,294.42,244,0.15753,0.16177,13,49,38,1.48,0.19596
0,0.7397,0.4124,0.030155,303.5,294.9,244,0.15319,0.13605,13,49,38,1.48,0.18425
4.785,0.7397,0.4124,0.030155,304.94,293.7,244,0.15016,0.12294,13,49,38,1.48,0.17521
4.785,0.7397,0.4124,0.030155,304.62,NaN,244,0.15237,0.16768,13,49,38,1.48,0.167
20.137,0.7397,0.4124,0.030155,300.72,NaN,244,0.15449,0.17445,13,49,38,1.48,0.15925
0,0.7397,0.4124,0.030155,NaN,NaN,244,0.15678,0.20459,13,49,38,1.48,0.15821
20.137,0.7397,0.4124,0.030155,NaN,NaN,244,0.17319,0.25231,13,49,38,1.48,0.23804
20.137,0.7397,0.4124,0.030155,299.68,NaN,244,0.18036,0.23588,13,49,38,1.48,0.27142
20.137,0.7397,0.4124,0.030155,NaN,NaN,244,0.18107,0.2356,13,49,38,1.48,0.27271
0,0.7397,0.4124,0.049624,NaN,NaN,244,0.17757,0.20356,13,49,38,1.48,0.26763
0,0.7397,0.4124,0.049624,NaN,NaN,244,0.17858,0.2279,13,49,38,1.48,0.26271
16.327,0.7397,0.4124,0.049624,NaN,294.16,244,0.18777,0.25092,13,49,38,1.48,0.26796
0,0.7397,0.4124,0.049624,NaN,295.2,244,0.18502,0.20501,13,49,38,1.48,0.26575
0,0.7397,0.4124,0.049624,300.06,NaN,244,0.18098,0.18914,13,49,38,1.48,0.25517
0,0.7397,0.4124,0.049624,301.34,289.56,244,0.17718,0.16556,13,49,38,1.48,0.24267
0,0.7397,0.4124,0.049624,298.82,292.08,244,0.17484,0.16059,13,49,38,1.48,0.22954
0,0.7397,0.4124,0.049624,303.74,NaN,244,0.17245,0.15567,13,49,38,1.48,0.21725
14.404,0.6401,0.3353,0.027525,NaN,NaN,244,0.17113,0.1698,13,49,38,1.48,0.20758
14.404,0.6401,0.3353,0.027525,NaN,NaN,244,0.18364,0.26206,13,49,38,1.48,0.20971
0,0.6401,0.3353,0.027525,295.58,NaN,244,0.18645,0.22169,13,49,38,1.48,0.23096
0,0.6401,0.3353,0.027525,NaN,293.98,244,0.18205,0.19253,13,49,38,1.48,0.22438
0,0.6401,0.3353,0.027525,NaN,NaN,244,0.17849,0.17709,13,49,38,1.48,0.21463
0,0.6401,0.3353,0.027525,NaN,NaN,244,0.17716,0.18501,13,49,38,1.48,0.20967
0,0.6401,0.3353,0.027525,305.96,290.48,244,0.17664,0.20241,13,49,38,1.48,0.20279
0,0.6401,0.3353,0.027525,301.4,295.68,244,0.17299,0.17848,13,49,38,1.48,0.19683
0,0.6401,0.3353,0.04511,296.62,NaN,244,0.17137,0.18154,13,49,38,1.48,0.19038
0,0.6401,0.3353,0.04511,NaN,294.3,244,0.16861,0.16059,13,49,38,1.48,0.18358
0,0.6401,0.3353,0.04511,NaN,NaN,244,0.16549,0.13846,13,49,38,1.48,0.17671
0,0.6401,0.3353,0.04511,NaN,NaN,244,0.16389,0.13983,13,49,38,1.48,0.17375
10.929,0.6401,0.3353,0.04511,NaN,NaN,244,0.16737,0.20209,13,49,38,1.48,0.16829
0,0.6401,0.3353,0.04511,NaN,293.12,244,0.16605,0.1791,13,49,38,1.48,0.16479
28.259,0.6401,0.3353,0.04511,NaN,NaN,244,0.16558,0.19114,13,49,38,1.48,0.20533
0,0.6401,0.3353,0.04511,298.68,287.24,244,0.16362,0.16447,13,49,38,1.48,0.19804
0,0.7379,0.3775,0.034115,298.4,286.06,244,0.16131,0.14725,13,49,38,1.48,0.19063
0,0.7379,0.3775,0.034115,297.98,287.4,244,0.15905,0.13518,13,49,38,1.48,0.18237
0,0.7379,0.3775,0.034115,301.82,NaN,244,0.15691,0.12557,13,49,38,1.48,0.17629
0,0.7379,0.3775,0.034115,NaN,291.22,244,0.15503,0.119,13,49,38,1.48,0.1755
0,0.7379,0.3775,0.034115,301.8,290.74,244,0.15365,0.11736,13,49,38,1.48,0.16642
0,0.7379,0.3775,0.034115,302.46,291.06,244,0.15221,0.11853,13,49,38,1.48,0.16404
0,0.7379,0.3775,0.034115,302.64,NaN,244,0.15058,0.11596,13,49,38,1.48,0.15408
0,0.7379,0.3775,0.034115,NaN,NaN,244,0.14918,0.1126,13,49,38,1.48,0.15025
0,0.7379,0.3775,0.027909,302.9,287.22,244,0.14839,0.11169,13,49,38,1.48,0.14496
